store_name,city,state,country,continent
Berlin Store #4507,Berlin,Berlin,Germany,Europe
Los Angeles Store #1680,Los Angeles,CA,USA,North America
Frankfurt Store #1425,Frankfurt,Hesse,Germany,Europe
Tokyo Store #489,Tokyo,Tokyo,Japan,Asia
Los Angeles Store #8280,Los Angeles,CA,USA,North America
Osaka Store #8929,Osaka,Osaka,Japan,Asia
Shenzhen Store #9655,Shenzhen,Guangdong,China,Asia
New York Store #2616,New York,NY,USA,North America
Bengaluru Store #4553,Bengaluru,Karnataka,India,Asia
Chicago Store #1675,Chicago,IL,USA,North America
New York Store #5882,New York,NY,USA,North America
Montreal Store #4334,Montreal,QC,Canada,North America
Marseille Store #7528,Marseille,Provence-Alpes-Cote d'Azur,France,Europe
Shenzhen Store #1292,Shenzhen,Guangdong,China,Asia
Nagoya Store #9460,Nagoya,Aichi,Japan,Asia
New York Store #751,New York,NY,USA,North America
Munich Store #1308,Munich,Bavaria,Germany,Europe
Toronto Store #6228,Toronto,ON,Canada,North America
Chicago Store #2665,Chicago,IL,USA,North America
Shanghai Store #4375,Shanghai,Shanghai,China,Asia
Mumbai Store #9981,Mumbai,Maharashtra,India,Asia
Frankfurt Store #4011,Frankfurt,Hesse,Germany,Europe
Houston Store #4423,Houston,TX,USA,North America
Monterrey Store #9126,Monterrey,Nuevo Leon,Mexico,North America
Chicago Store #917,Chicago,IL,USA,North America
New York Store #5169,New York,NY,USA,North America
Beijing Store #3457,Beijing,Beijing,China,Asia
Saint Petersburg Store #3484,Saint Petersburg,Northwestern,Russia,Europe
Munich Store #7518,Munich,Bavaria,Germany,Europe
Los Angeles Store #4041,Los Angeles,CA,USA,North America
Edinburgh Store #4305,Edinburgh,Scotland,UK,Europe
Manchester Store #9561,Manchester,England,UK,Europe
Shanghai Store #2267,Shanghai,Shanghai,China,Asia
Beijing Store #772,Beijing,Beijing,China,Asia
Toronto Store #2622,Toronto,ON,Canada,North America
Lyon Store #9772,Lyon,Auvergne-Rhone-Alpes,France,Europe
Houston Store #9764,Houston,TX,USA,North America
Monterrey Store #4120,Monterrey,Nuevo Leon,Mexico,North America
Madrid Store #1877,Madrid,Community of Madrid,Spain,Europe
Frankfurt Store #4372,Frankfurt,Hesse,Germany,Europe
Manchester Store #1828,Manchester,England,UK,Europe
Los Angeles Store #7434,Los Angeles,CA,USA,North America
Chicago Store #8202,Chicago,IL,USA,North America
Edinburgh Store #1744,Edinburgh,Scotland,UK,Europe
Busan Store #8318,Busan,Busan,South Korea,Asia
