store_name,city,state,country,continent
Infinity Depot,Tokyo,,Japan,Asia
Grand Corner,Beijing,,China,Asia
Global Express,Houston,TX,USA,North America
Modern Market,Johannesburg,,South Africa,Africa
Pioneer Mart,São Paulo,,Brazil,South America
Epic Shop,Moscow,,Russia,Europe/Asia
Prime Express,Singapore,,Singapore,Asia
Aurora Market,London,,UK,Europe
Epic Store,Dubai,,UAE,Asia
Infinity Mart,Saint Petersburg,,Russia,Europe/Asia
Infinity Depot 52,Beijing,,China,Asia
Aurora Corner,Houston,TX,USA,North America
Metro Emporium,Osaka,,Japan,Asia
Metro Corner,Melbourne,,Australia,Oceania
Grand Depot,Busan,,South Korea,Asia
Sunrise Bazaar,Lyon,,France,Europe
Urban Shop,Osaka,,Japan,Asia
Modern Emporium,Delhi,,India,Asia
Dynamic Emporium,Singapore,,Singapore,Asia
Sunrise Corner,Manchester,,UK,Europe
Aurora Express,Beijing,,China,Asia
Pioneer Mart 83,Vancouver,,Canada,North America
Cosmic Shop,Moscow,,Russia,Europe/Asia
Grand Store,São Paulo,,Brazil,South America
Grand Mart,Lyon,,France,Europe
Urban Shop 32,Busan,,South Korea,Asia
Royal Shop,Istanbul,,Turkey,Europe/Asia
Elite Mart,Los Angeles,CA,USA,North America
Aurora Mart,Munich,,Germany,Europe
Urban Shop 4,Dubai,,UAE,Asia
Metro Outlet,São Paulo,,Brazil,South America
Aurora Emporium,São Paulo,,Brazil,South America
Royal Depot,London,,UK,Europe
Aurora Bazaar,Paris,,France,Europe
Dynamic Bazaar,Tokyo,,Japan,Asia
Urban Bazaar,Istanbul,,Turkey,Europe/Asia
Urban Shop 94,Istanbul,,Turkey,Europe/Asia
Cosmic Depot,Shanghai,,China,Asia
Cosmic Depot 34,Lyon,,France,Europe
Infinity Express,Munich,,Germany,Europe
Pioneer Emporium,Los Angeles,CA,USA,North America
Royal Outlet,Houston,TX,USA,North America
Metro Express,London,,UK,Europe
Urban Outlet,Delhi,,India,Asia
Prime Depot,São Paulo,,Brazil,South America
